SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC14086,35,2000,837,508,2015,1.2,1721,2.4
SSC14087,46,1265,472,395,1562,1.1,1312,2.4
SSC14088,41,1733,809,255,1968,0.8,1875,2.9
SSC14089,38,1950,461,420,1418,1,1404,3.4
SSC14090,53,575,481,100,1100,0.7,871,2.2
SSC14091,48,1350,737,0,1625,0.7,1374,2.5
SSC14092,43,467,603,0,1218,0.7,1031,2.5
SSC14093,47,1083,592,152,1372,0.7,1071,2.3
SSC14094,57,0,450,25,1281,0.6,1042,2.1
SSC14095,36,3424,1166,0,2874,0.5,2625,2.9
SSC14096,33,953,536,150,1164,0.8,1039,2.6
SSC14097,42,1040,495,160,1312,0.7,1096,2.3
SSC14098,52,1083,484,160,1138,0.7,966,2.2
SSC14099,43,1733,707,350,1739,0.7,1581,2.7
SSC14100,63,0,1416,0,0,0.5,0,1
SSC14101,40,2123,723,300,1941,0.8,1729,2.9
SSC14102,62,1100,461,236,1038,0.7,768,1.9
SSC14103,49,1366,603,290,1337,0.8,1152,2.4
SSC14104,37,2070,751,340,2117,0.8,2031,3.2
SSC14105,39,1972,857,220,1875,0.8,1562,2.7
SSC14106,52,1300,404,190,1024,0.8,933,2.5
SSC14107,43,217,371,80,780,0.7,714,2.3
SSC14108,47,0,478,0,949,0.6,949,2.3
SSC14109,38,2029,586,510,1589,0.9,1562,3.3
SSC14110,55,0,450,0,1125,0,1062,0
SSC14111,47,2167,632,215,1474,0.7,1354,2.3
SSC14112,44,2313,881,348,2557,0.8,2266,3
SSC14113,52,867,690,100,1463,0.7,1224,2.5
SSC14114,40,1517,544,200,1470,0.8,1135,2.6
SSC14115,44,0,669,40,1666,0.7,1375,2.4
SSC14116,0,0,0,0,0,0,0,0
SSC14117,0,0,0,0,0,0,0,0
SSC14118,40,1647,557,320,1420,0.8,1120,2.4
SSC14119,52,0,665,25,1375,0.6,966,2.1
SSC14120,56,1042,575,180,1125,0.7,928,2
SSC14121,38,0,675,150,2062,0.5,1375,2
SSC14122,39,2167,798,425,2186,0.8,1981,2.9
SSC14123,44,2600,1149,365,3176,0.8,3012,3
SSC14124,48,1684,1025,0,2250,0.7,2124,3
SSC14125,45,950,556,0,1125,0.6,1062,2.4
SSC14126,39,300,604,45,1125,0.8,1166,2.6
SSC14127,44,1600,614,240,1642,0.9,1642,2.8
SSC14128,55,1000,394,0,1062,0.7,860,2.3
SSC14129,46,0,324,0,0,0.5,466,2
SSC14130,42,0,524,0,1125,0.6,900,2.2
SSC14131,45,239,479,0,1624,0.8,900,2.5
SSC14132,52,1410,417,200,962,0.6,762,1.8
SSC14133,44,434,822,0,1937,0.7,1208,2.4
SSC14134,46,0,479,300,1187,0.9,850,2.3
SSC14135,53,1733,579,300,1398,0.8,1174,2.3
SSC14136,46,1100,689,0,1437,0.7,1268,2.4
SSC14137,42,0,833,0,2687,0.5,2312,2.5
SSC14138,45,0,840,0,1875,0.6,1125,2.2
SSC14139,59,433,484,0,1125,0.6,883,1.8
SSC14140,44,1700,564,340,1637,0.8,1391,2.5
SSC14141,39,1733,600,300,1572,0.9,1116,2.2
SSC14142,32,1733,494,350,1348,0.8,1119,2.5
SSC14143,35,1400,716,125,1624,0.7,1333,3.1
SSC14144,45,1343,492,300,1162,0.8,975,2.4
SSC14145,46,0,464,165,966,0.8,1050,2.6
SSC14146,43,0,449,0,899,0.5,899,1.5
SSC14147,53,586,405,230,817,0.8,683,2.1
SSC14148,41,2676,811,550,2386,0.9,2043,2.6
SSC14149,48,1029,475,150,1149,0.8,919,2.3
SSC14150,42,1874,428,130,900,0.7,624,2.1
SSC14151,44,1590,465,265,1129,0.8,854,2.4
SSC14152,34,0,724,268,2083,0.9,1749,2.8
SSC14153,43,1800,626,350,1588,0.8,1231,2.4
SSC14154,37,1850,613,425,1766,0.8,1652,3.2
SSC14155,0,0,0,0,0,0,0,0
SSC14156,45,3000,587,85,1562,0.7,1375,2.5
SSC14157,44,1539,461,0,1312,1,1312,3.1
SSC14158,36,1560,698,340,1743,0.8,1326,2.6
SSC14159,43,1343,556,75,1312,0.8,1166,2.6
SSC14160,36,1322,599,0,1625,0.9,1208,2.7
SSC14161,42,2016,575,0,1312,0.6,1125,2.3
SSC14162,41,650,857,175,2083,0.8,2041,2.9
SSC14163,47,1517,676,255,1766,0.7,1462,2.5
SSC14164,54,0,440,0,774,0.7,725,1.9
SSC14165,41,3000,993,600,3527,0.8,3085,3
SSC14166,41,0,599,150,1687,0.7,1208,2.4
SSC14167,42,1421,412,215,963,0.9,762,2.4
SSC14168,54,0,379,0,1062,0.8,941,2.3
SSC14169,41,0,425,235,1124,0.6,900,1.7
SSC14170,52,1257,577,175,1365,0.8,1260,2.7
SSC14171,43,975,646,150,1375,0.7,1059,2.3
SSC14172,41,2600,1031,200,2666,1,2285,2.4
SSC14173,39,2711,876,680,2366,0.9,2160,2.9
SSC14174,38,2000,837,398,2288,0.8,2097,2.9
SSC14175,37,1733,769,0,1875,0.9,1624,3
SSC14176,14,0,0,0,0,0,0,0
SSC14177,33,1517,476,300,1202,1.1,980,2.4
SSC14178,0,0,0,0,0,0,0,0
SSC14179,48,0,556,0,1583,0.5,1542,2.9
SSC14180,53,1863,462,218,1208,0.8,817,1.9
SSC14181,34,1608,529,335,1363,0.8,1220,2.7
SSC14182,39,2156,757,450,1968,0.9,1837,2.9
SSC14183,32,2400,786,520,2217,1.1,1503,2
SSC14184,58,0,774,0,1687,0.6,1687,2.8
SSC14185,53,1729,474,200,1187,0.7,575,1.6
SSC14186,46,1473,491,270,1303,0.8,1233,2.7
SSC14187,39,2700,1042,650,3399,0.9,2583,2.5
SSC14188,53,1365,404,0,900,0.8,662,2
SSC14189,59,1184,725,0,1375,0.7,1124,2.6
SSC14190,45,910,564,125,1468,0.8,1062,2.2
SSC14191,53,1170,404,200,880,0.7,700,1.9
SSC14192,33,2167,848,450,2239,0.9,2148,3.2
SSC14193,36,2200,789,450,2662,0.8,2564,3.3
SSC14194,39,0,900,0,0,0,0,0
SSC14195,43,0,431,50,1062,1.2,850,2.4
SSC14196,40,1939,850,0,2166,0.8,1875,3.2
SSC14197,43,1473,488,290,1145,0.8,920,2.4
SSC14198,59,0,649,0,1149,0.6,1149,2
SSC14199,58,433,378,0,833,0.7,843,1.8
SSC14200,40,3000,1048,550,2947,1,2138,2.3
SSC14201,42,1517,687,0,2124,0.5,1875,3.2
SSC14202,38,2500,1365,600,3194,0.9,2392,2.1
SSC14203,49,1300,626,240,1375,0.9,1166,2.4
SSC14204,52,1631,659,0,1624,0.6,1325,2.4
